3367	116	100	99
3339	111	0	95
3338	109	101	93
3348	109	0	93
3366	108	0	92
3388	105	0	90
3386	101	0	86
3345	100	88	86
3353	99	0	85
3282	98	0	84
3401	95	83	81
3406	94	0	81
3405	92	0	79
3357	91	0	78
3301	87	66	75
3424	83	0	72
3352	82	0	71
3387	75	0	65
3292	74	56	64
3302	72	0	63
3329	72	0	63
3364	71	0	62
3373	71	54	62
3318	70	62	61
3359	70	0	61
3409	70	0	61
3355	69	0	60
3262	68	0	59
3311	66	60	58
3380	66	0	58
3289	64	0	56
3394	58	0	51
3293	44	39	40
3375	43	0	39
3271	34	35	31
3287	34	0	31
3404	34	0	31
3298	30	0	28
3403	27	0	26
3276	26	0	25
3331	25	25	24
3418	22	0	22
3371	20	0	20
3351	19	28	19
3398	17	0	18
3411	14	0	15
5435	13	0	14
3395	8	9	10
3372	6	0	8
3341	3	0	5
3291	2	2	4
3349	0	0	0
3379	0	0	0
5444	0	0	0
			
